Class_70,Class_60,Class_50,Class_40,Class_30,Class_20,Class_sum,Class_100,Class_111,Class_122,Class_112,Class_123,Class_200,Class_121,Class_115,Class_126,Class_116,Class_113,Class_124,Class_114,Class_125,Class_0,Class_90,Class_80,name,system:index,id
0.0,0.48319796027953,4.4452873743328487E-4,0.006914201415230448,0.0690732805981957,0.41951665083784473,167458.24,0.0,0.0,0.0,0.0,0.0,0.017288369924346514,0.0,0.0,0.0016475152252884062,0.0019174929821309482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Somaliland,0000000000000000001b,-99
0.0,0.0011160360093514297,0.04341697432588251,0.45989675344595954,0.18239519311125452,0.09859993018163354,3781.24,0.0,0.051506913076133753,0.0,0.0,0.0,0.1296955496080651,0.01807872549745586,0.0,0.009116057166432176,0.001938517523352128,0.0,0.0,0.0,0.0,0.0,0.0,0.004239350054479484,Northern Cyprus,00000000000000000057,-99
0.007288474912586806,0.5540909509293402,0.0014068067955490663,0.0608362955509369,0.35632755067493915,0.004959413627781043,652292.8400000001,0.0,0.0014098269114834986,0.0,0.0,0.0,0.0,1.5039257521207805E-5,0.0,0.011704267672170062,0.00105940147986294,0.0,0.0,1.2417735567969747E-6,0.0,0.0,5.138796249856123E-5,8.493424517736542E-4,Afghanistan,00000000000000000031,AFG
0.0,0.013916149383134705,0.0010976662402127771,0.040328546007114455,0.1866082164580959,0.1314757499131019,1245050.59,0.0,0.0,4.0183106133864004E-5,0.026028548767644853,0.0,0.012953248751121029,0.0,0.0,0.12375630455305432,0.005462203748684622,0.0,0.15594790409279674,0.2910162550101679,0.0,0.0,0.010937981242995113,4.310427257417708E-4,Angola,00000000000000000032,AGO
0.0,4.2230156372813474E-4,0.017251726081869926,0.15739724837191632,0.1373567828568465,0.15272869448199355,29694.420000000002,0.0,0.03639875774640487,0.0,0.0,0.0,0.04608475262355688,1.7713765751275828E-4,0.01825326105039263,0.20481423782650074,0.05234653514027215,0.0,0.002045165387975249,0.1527313885908531,1.5120685973997808E-4,0.0,0.0014756981277964007,0.020365105632640743,Albania,00000000000000000033,ALB
0.0,0.9266429099529419,0.018513018315094294,0.0031204271460293182,1.5856413119413786E-4,9.966174234865592E-4,80030.70999999999,0.0,0.0,0.0,0.0,0.0,0.04541481638735931,0.0,0.0,0.0036899585171742202,2.2866222228941867E-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0014408219044914135,United Arab Emirates,00000000000000000034,ARE
0.00146995646398173,0.1886139991101342,0.0029758671369759255,0.1525006951470308,0.21214571465514317,0.2666173074145351,2784374.98,0.0,0.0,7.370307572581334E-4,0.020392030673971936,0.0,0.0061301441517765684,0.0,2.2116274008467063E-5,0.03215333805362667,0.0300340724940719,0.0,4.022841779737584E-4,0.04969505580027875,0.0,6.392817105402951E-7,0.02510348300859965,0.011006265398922669,Argentina,00000000000000000035,ARG
0.0,0.0024512687698722622,0.024618126121810704,0.1401273151502096,0.6511702442994297,8.66899352740753E-4,28642.31,0.0,9.583724217774334E-4,0.0,0.0,0.0,0.0,1.626963746988284E-4,2.3706188502254182E-4,0.020677452342356465,0.017570859333622183,0.0,0.0016419765025935409,0.09316148034149481,0.0,0.0,2.6534172697663E-5,0.046329712931673456,Armenia,00000000000000000036,ARM
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,French Southern and Antarctic Lands,00000000000000000037,ATF
0.0,0.011538266748215753,0.001503596479005799,0.04992914402618892,0.5166205233758929,0.16642850151511862,7687361.710000001,0.0,0.0,6.717935482705417E-4,0.04435915374664996,0.0,0.008478804882462073,0.0,0.0,0.02897830340287188,9.53686098894389E-4,0.0,0.1103788623470405,0.057540224681323075,5.615710776799131E-6,3.35862952388642E-5,9.497757846495296E-4,0.0016301613574002099,Australia,00000000000000000038,AUS
0.0049507231332593365,0.009487495198778789,0.03671435683851396,0.2345432410793663,0.16358718571100156,4.954014056001163E-4,85082.51999999997,0.0,0.3192694574631782,0.0,0.0,0.0,0.0,0.001677195268781414,0.1056155835534726,0.05216923523186667,0.004012810151838475,0.0,4.770662646099342E-4,0.046619211560729526,0.011226747867834666,0.0,0.0015376836511189378,0.007616605620049808,Austria,00000000000000000039,AUT
6.562218389750122E-5,0.016145910377215623,0.02830598636726563,0.4259301121546769,0.33141167144311295,0.005773545085951891,91127.72000000002,0.0,7.319397434721289E-4,0.0,0.0,0.0,0.0,8.339943104030254E-6,7.516922402974637E-5,0.033054815812356544,0.020030568086198138,0.0,1.3343908966448407E-4,0.09927517115538496,3.281109194875061E-5,0.0,0.0026087561501593583,0.03641614209156115,Azerbaijan,0000000000000000003a,AZE
0.0,0.0,0.006248165835178615,0.6569481021872773,0.02592870672800241,0.06638018758980262,26238.1,0.0,0.0,0.0,0.007857657376105739,0.0,0.0,0.0,0.0,0.13519233481082854,0.010410814807474628,0.0,0.009293355845125981,0.0036119231194331907,0.0,0.0,0.0026960793655028373,0.07543267233526818,Burundi,0000000000000000003b,BDI
0.0,0.0,0.1470177068985546,0.4666977546922452,0.06438905391725717,0.0,30129.499999999996,0.0,0.05450073847889942,0.0,0.0,0.0,0.004751489404072422,8.041952239499495E-4,0.07997676695597339,0.05468394762608075,3.0335717486184644E-4,0.0,1.2811364277535308E-4,0.07465440847010407,0.0477671385187275,0.0,5.054846578934267E-4,0.0038198443386050222,Belgium,0000000000000000003c,BEL
